symbol,security_id,isin,company,industry,yfinance_symbol
KARURVYSYA,1838,INE036D01028,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS
KAYNES,12092,INE918Z01012,Kaynes Technology India Ltd.,Capital Goods,KAYNES.NS
KEC,13260,INE389H01022,Kec International Ltd.,Construction,KEC.NS
KFINTECH,13359,INE138Y01010,Kfin Technologies Ltd.,Financial Services,KFINTECH.NS
KIRLOSENG,20936,INE146L01010,Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG.NS
KOTAKBANK,1922,INE237A01036,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS
KIMS,4847,INE967H01025,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS
LTF,24948,INE498L01015,L&T Finance Ltd.,Financial Services,LTF.NS
LTTS,18564,INE010V01017,L&T Technology Services Ltd.,Information Technology,LTTS.NS
LGEINDIA,760213,INE324D01010,LG Electronics India Ltd.,Consumer Durables,LGEINDIA.NS
LICHSGFIN,1997,INE115A01026,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS
LTFOODS,13816,INE818H01020,LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS.NS
LTM,17818,INE214T01019,LTM Ltd.,Information Technology,LTM.NS
LT,11483,INE018A01030,Larsen & Toubro Ltd.,Construction,LT.NS
LATENTVIEW,6818,INE0I7C01011,Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS
LAURUSLABS,19234,INE947Q01028,Laurus Labs Ltd.,Healthcare,LAURUSLABS.NS
THELEELA,757014,INE0AQ201015,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA.NS
LEMONTREE,2606,INE970X01018,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS
LENSKART,759605,INE956O01016,Lenskart Solutions Ltd.,Consumer Services,LENSKART.NS
LICI,9480,INE0J1Y01017,Life Insurance Corporation of India,Financial Services,LICI.NS
LINDEINDIA,1627,INE473A01011,Linde India Ltd.,Chemicals,LINDEINDIA.NS
LLOYDSME,17313,INE281B01032,Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME.NS
LODHA,3220,INE670K01029,Lodha Developers Ltd.,Realty,LODHA.NS
LUPIN,10440,INE326A01037,Lupin Ltd.,Healthcare,LUPIN.NS
MMTC,17957,INE123F01029,MMTC Ltd.,Services,MMTC.NS
MRF,2277,INE883A01011,MRF Ltd.,Automobile and Auto Components,MRF.NS
MGL,17534,INE002S01010,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS
M&MFIN,13285,INE774D01024,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS
M&M,2031,INE101A01026,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS
MANAPPURAM,19061,INE522D01027,Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS
MRPL,2283,INE103A01014,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL.NS
MANKIND,15380,INE634S01028,Mankind Pharma Ltd.,Healthcare,MANKIND.NS
MARICO,4067,INE196A01026,Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS
MARUTI,10999,INE585B01010,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS
MFSL,2142,INE180A01020,Max Financial Services Ltd.,Financial Services,MFSL.NS
MAXHEALTH,22377,INE027H01010,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS
MAZDOCK,509,INE249Z01020,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS
MEESHO,760229,INE0VDM01015,Meesho Ltd.,Consumer Services,MEESHO.NS
MINDACORP,25897,INE842C01021,Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP.NS
MSUMI,8596,INE0FS801015,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI.NS
MOTILALOFS,14947,INE338I01027,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS
MPHASIS,4503,INE356A01018,MphasiS Ltd.,Information Technology,MPHASIS.NS
MCX,31181,INE745G01043,Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS
MUTHOOTFIN,23650,INE414G01012,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN.NS
NATCOPHARM,3918,INE987B01026,NATCO Pharma Ltd.,Healthcare,NATCOPHARM.NS
NBCC,31415,INE095N01031,NBCC (India) Ltd.,Construction,NBCC.NS
NCC,2319,INE868B01028,NCC Ltd.,Construction,NCC.NS
NHPC,17400,INE848E01016,NHPC Ltd.,Power,NHPC.NS
NLCINDIA,8585,INE589A01014,NLC India Ltd.,Power,NLCINDIA.NS
NMDC,15332,INE584A01023,NMDC Ltd.,Metals & Mining,NMDC.NS
NSLNISP,14180,INE0NNS01018,NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS
NTPCGREEN,27176,INE0ONG01011,NTPC Green Energy Ltd.,Power,NTPCGREEN.NS
NTPC,11630,INE733E01010,NTPC Ltd.,Power,NTPC.NS
NH,11840,INE410P01011,Narayana Hrudayalaya Ltd.,Healthcare,NH.NS
NATIONALUM,6364,INE139A01034,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS
NAVA,4014,INE725A01030,Nava Ltd.,Power,NAVA.NS
NAVINFLUOR,14672,INE048G01026,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS
NESTLEIND,17963,INE239A01024,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS
NETWEB,17433,INE0NT901020,Netweb Technologies India Ltd.,Information Technology,NETWEB.NS
NEULANDLAB,2406,INE794A01010,Neuland Laboratories Ltd.,Healthcare,NEULANDLAB.NS
NEWGEN,1164,INE619B01017,Newgen Software Technologies Ltd.,Information Technology,NEWGEN.NS
NAM-INDIA,357,INE298J01013,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA.NS
NIVABUPA,27097,INE995S01015,Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA.NS
NUVAMA,18721,INE531F01023,Nuvama Wealth Management Ltd.,Financial Services,NUVAMA.NS
NUVOCO,5426,INE118D01016,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS
OBEROIRLTY,20242,INE093I01010,Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS
ONGC,2475,INE213A01029,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS
OIL,17438,INE274J01014,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS
OLAELEC,24777,INE0LXG01040,Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC.NS
OLECTRA,10637,INE260D01016,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS
PAYTM,6705,INE982J01020,One 97 Communications Ltd.,Financial Services,PAYTM.NS
ONESOURCE,29224,INE013P01021,Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE.NS
OFSS,10738,INE881D01027,Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS
POLICYBZR,6656,INE417T01026,PB Fintech Ltd.,Financial Services,POLICYBZR.NS
PCBL,2649,INE602A01031,PCBL Chemical Ltd.,Chemicals,PCBL.NS
PGEL,25358,INE457L01029,PG Electroplast Ltd.,Consumer Durables,PGEL.NS
PIIND,24184,INE603J01030,PI Industries Ltd.,Chemicals,PIIND.NS
PNBHOUSING,18908,INE572E01012,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS
PTCIL,16682,INE596F01018,PTC Industries Ltd.,Capital Goods,PTCIL.NS
PVRINOX,13147,INE191H01014,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX.NS
PAGEIND,14413,INE761H01022,Page Industries Ltd.,Textiles,PAGEIND.NS
PARADEEP,9741,INE088F01024,Paradeep Phosphates Ltd.,Chemicals,PARADEEP.NS
PATANJALI,17029,INE619A01035,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI.NS
PERSISTENT,18365,INE262H01021,Persistent Systems Ltd.,Information Technology,PERSISTENT.NS
PETRONET,11351,INE347G01014,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS
PFIZER,2643,INE182A01018,Pfizer Ltd.,Healthcare,PFIZER.NS
PHOENIXLTD,14552,INE211B01039,Phoenix Mills Ltd.,Realty,PHOENIXLTD.NS
PWL,759723,INE0LP301011,Physicswallah Ltd.,Consumer Services,PWL.NS
PIDILITIND,2664,INE318A01026,Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS
PINELABS,759820,INE15B701018,Pine Labs Ltd.,Financial Services,PINELABS.NS
PIRAMALFIN,759551,INE202B01038,Piramal Finance Ltd.,Financial Services,PIRAMALFIN.NS
PPLPHARMA,11571,INE0DK501011,Piramal Pharma Ltd.,Healthcare,PPLPHARMA.NS
POLYMED,25718,INE205C01021,Poly Medicure Ltd.,Healthcare,POLYMED.NS
POLYCAB,9590,INE455K01017,Polycab India Ltd.,Capital Goods,POLYCAB.NS
POONAWALLA,11403,INE511C01022,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA.NS
PFC,14299,INE134E01011,Power Finance Corporation Ltd.,Financial Services,PFC.NS
POWERGRID,14977,INE752E01010,Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
PREMIERENE,25049,INE0BS701011,Premier Energies Ltd.,Capital Goods,PREMIERENE.NS
PRESTIGE,20302,INE811K01011,Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS
PFOCUS,13496,INE367G01038,Prime Focus Ltd.,Media Entertainment & Publication,PFOCUS.NS
PNB,10666,INE160A01022,Punjab National Bank,Financial Services,PNB.NS
RRKABEL,18566,INE777K01022,R R Kabel Ltd.,Capital Goods,RRKABEL.NS
RBLBANK,18391,INE976G01028,RBL Bank Ltd.,Financial Services,RBLBANK.NS
RECLTD,15355,INE020B01018,REC Ltd.,Financial Services,RECLTD.NS
RHIM,31163,INE743M01012,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS
RITES,3761,INE320J01015,RITES Ltd.,Construction,RITES.NS
RADICO,10990,INE944F01028,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS
RVNL,9552,INE415G01027,Rail Vikas Nigam Ltd.,Construction,RVNL.NS
RAILTEL,2431,INE0DD101019,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL.NS
RAINBOW,9408,INE961O01016,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS
RKFORGE,11411,INE399G01023,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE.NS
REDINGTON,14255,INE891D01026,Redington Ltd.,Services,REDINGTON.NS
RELIANCE,2885,INE002A01018,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
RPOWER,15259,INE614G01033,Reliance Power Ltd.,Power,RPOWER.NS
SBFC,18026,INE423Y01016,SBFC Finance Ltd.,Financial Services,SBFC.NS
SBICARD,17971,INE018E01016,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS
SBILIFE,21808,INE123W01016,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
SJVN,18883,INE002L01015,SJVN Ltd.,Power,SJVN.NS
SRF,3273,INE647A01010,SRF Ltd.,Chemicals,SRF.NS
SAGILITY,27052,INE0W2G01015,Sagility Ltd.,Information Technology,SAGILITY.NS
SAILIFE,27839,INE570L01029,Sai Life Sciences Ltd.,Healthcare,SAILIFE.NS
SAMMAANCAP,30125,INE148I01020,Sammaan Capital Ltd.,Financial Services,SAMMAANCAP.NS
MOTHERSON,4204,INE775A01035,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS
SAPPHIRE,6718,INE806T01020,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS
SARDAEN,17758,INE385C01021,Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN.NS
SAREGAMA,4892,INE979A01025,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA.NS
SCHAEFFLER,1011,INE513A01022,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS
SCHNEIDER,31234,INE839M01018,Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER.NS
SCI,3048,INE109A01011,Shipping Corporation of India Ltd.,Services,SCI.NS
SHREECEM,3103,INE070A01015,Shree Cement Ltd.,Construction Materials,SHREECEM.NS
SHRIRAMFIN,4306,INE721A01047,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
SHYAMMETL,4693,INE810G01011,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL.NS
ENRIN,756871,INE1NPP01017,Siemens Energy India Ltd.,Capital Goods,ENRIN.NS
SIEMENS,3150,INE003A01024,Siemens Ltd.,Capital Goods,SIEMENS.NS
SIGNATURE,18743,INE903U01023,Signatureglobal (India) Ltd.,Realty,SIGNATURE.NS
SOBHA,13826,INE671H01015,Sobha Ltd.,Realty,SOBHA.NS
SOLARINDS,13332,INE343H01029,Solar Industries India Ltd.,Chemicals,SOLARINDS.NS
SONACOMS,4684,INE073K01018,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS
SONATSOFTW,6596,INE269A01021,Sonata Software Ltd.,Information Technology,SONATSOFTW.NS
STARHEALTH,7083,INE575P01011,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH.NS
SBIN,3045,INE062A01020,State Bank of India,Financial Services,SBIN.NS
SAIL,2963,INE114A01011,Steel Authority of India Ltd.,Metals & Mining,SAIL.NS
SUMICHEM,17105,INE258G01013,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS
SUNPHARMA,3351,INE044A01036,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS
SUNTV,13404,INE424H01027,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS
SUNDARMFIN,3339,INE660A01013,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN.NS
SUPREMEIND,3363,INE195A01028,Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS
SPLPETRO,9617,INE663A01033,Supreme Petrochem Ltd.,Chemicals,SPLPETRO.NS
SUZLON,12018,INE040H01021,Suzlon Energy Ltd.,Capital Goods,SUZLON.NS
SWANCORP,27095,INE665A01038,Swan Corp Ltd.,Chemicals,SWANCORP.NS
SWIGGY,27066,INE00H001014,Swiggy Ltd.,Consumer Services,SWIGGY.NS
SYNGENE,10243,INE398R01022,Syngene International Ltd.,Healthcare,SYNGENE.NS
SYRMA,10793,INE0DYJ01015,Syrma SGS Technology Ltd.,Capital Goods,SYRMA.NS
TBOTEK,23740,INE673O01025,TBO Tek Ltd.,Consumer Services,TBOTEK.NS
TVSMOTOR,8479,INE494B01023,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS
TATACAP,759265,INE976I01016,Tata Capital Ltd.,Financial Services,TATACAP.NS
TATACHEM,3405,INE092A01019,Tata Chemicals Ltd.,Chemicals,TATACHEM.NS
TATACOMM,3721,INE151A01013,Tata Communications Ltd.,Telecommunication,TATACOMM.NS
TCS,11536,INE467B01029,Tata Consultancy Services Ltd.,Information Technology,TCS.NS
TATACONSUM,3432,INE192A01025,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
TATAELXSI,3411,INE670A01012,Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS
TATAINVEST,1621,INE672A01026,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST.NS
TMCV,759782,INE1TAE01010,Tata Motors Ltd.,Capital Goods,TMCV.NS
TMPV,3456,INE155A01022,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV.NS
TATAPOWER,3426,INE245A01021,Tata Power Co. Ltd.,Power,TATAPOWER.NS
TATASTEEL,3499,INE081A01020,Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
TATATECH,20293,INE142M01025,Tata Technologies Ltd.,Information Technology,TATATECH.NS
TTML,8954,INE517B01013,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS
TECHM,13538,INE669C01036,Tech Mahindra Ltd.,Information Technology,TECHM.NS
TECHNOE,6445,INE285K01026,Techno Electric & Engineering Company Ltd.,Construction,TECHNOE.NS
TEGA,7105,INE011K01018,Tega Industries Ltd.,Capital Goods,TEGA.NS
TEJASNET,21131,INE010J01012,Tejas Networks Ltd.,Telecommunication,TEJASNET.NS
TENNIND,759880,INE19RI01016,Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND.NS
NIACL,399,INE470Y01017,The New India Assurance Company Ltd.,Financial Services,NIACL.NS
RAMCOCEM,2043,INE331A01037,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS
THERMAX,3475,INE152A01029,Thermax Ltd.,Capital Goods,THERMAX.NS
TIMKEN,14198,INE325A01013,Timken India Ltd.,Capital Goods,TIMKEN.NS
TITAGARH,15414,INE615H01020,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH.NS
TITAN,3506,INE280A01028,Titan Company Ltd.,Consumer Durables,TITAN.NS
TORNTPHARM,3518,INE685A01028,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS
TORNTPOWER,13786,INE813H01021,Torrent Power Ltd.,Power,TORNTPOWER.NS
TARIL,15174,INE763I01026,Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL.NS
TRAVELFOOD,757545,INE103V01028,Travel Food Services Ltd.,Consumer Services,TRAVELFOOD.NS
TRENT,1964,INE849A01020,Trent Ltd.,Consumer Services,TRENT.NS
TRIDENT,9685,INE064C01022,Trident Ltd.,Textiles,TRIDENT.NS
TRITURBINE,25584,INE152M01016,Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS
TIINDIA,312,INE974X01010,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS
UCOBANK,11223,INE691A01018,UCO Bank,Financial Services,UCOBANK.NS
UNOMINDA,14154,INE405E01023,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS
UPL,11287,INE628A01036,UPL Ltd.,Chemicals,UPL.NS
UTIAMC,527,INE094J01016,UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS
ULTRACEMCO,11532,INE481G01011,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
UNIONBANK,10753,INE692A01016,Union Bank of India,Financial Services,UNIONBANK.NS
UBL,16713,INE686F01025,United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS
UNITDSPR,10447,INE854D01024,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR.NS
URBANCO,759084,INE0CAZ01013,Urban Company Ltd.,Consumer Services,URBANCO.NS
USHAMART,8840,INE228A01035,Usha Martin Ltd.,Capital Goods,USHAMART.NS
VTL,2073,INE825A01020,Vardhman Textiles Ltd.,Textiles,VTL.NS
VBL,18921,INE200M01039,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS
VEDL,3063,INE205A01025,Vedanta Ltd.,Metals & Mining,VEDL.NS
VIJAYA,5585,INE043W01024,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS
VMM,27969,INE01EA01019,Vishal Mega Mart Ltd.,Consumer Services,VMM.NS
IDEA,14366,INE669E01016,Vodafone Idea Ltd.,Telecommunication,IDEA.NS
VOLTAS,3718,INE226A01021,Voltas Ltd.,Consumer Durables,VOLTAS.NS
WAAREEENER,25907,INE377N01017,Waaree Energies Ltd.,Capital Goods,WAAREEENER.NS
WELCORP,11821,INE191B01025,Welspun Corp Ltd.,Capital Goods,WELCORP.NS
WELSPUNLIV,11253,INE192B01031,Welspun Living Ltd.,Textiles,WELSPUNLIV.NS
WHIRLPOOL,18011,INE716A01013,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS
WIPRO,3787,INE075A01022,Wipro Ltd.,Information Technology,WIPRO.NS
WOCKPHARMA,7506,INE049B01025,Wockhardt Ltd.,Healthcare,WOCKPHARMA.NS
YESBANK,11915,INE528G01035,Yes Bank Ltd.,Financial Services,YESBANK.NS
ZFCVINDIA,16915,INE342J01019,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS
ZEEL,3812,INE256A01028,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS
ZENTEC,7508,INE251B01027,Zen Technologies Ltd.,Capital Goods,ZENTEC.NS
ZENSARTECH,1076,INE520A01027,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS
ZYDUSLIFE,7929,INE010B01027,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS
ZYDUSWELL,17635,INE768C01028,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL.NS
ECLERX,15179,INE738I01010,eClerx Services Ltd.,Services,ECLERX.NS
