symbol,security_id,isin,company,industry,yfinance_symbol
AEGISVOPAK,757336,INE0INX01018,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK.NS
AFCONS,25977,INE101I01011,Afcons Infrastructure Ltd.,Construction,AFCONS.NS
AFFLE,11343,INE00WC01027,Affle 3i Ltd.,Information Technology,AFFLE.NS
AJANTPHARM,8124,INE031B01049,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS
ALKEM,11703,INE540L01014,Alkem Laboratories Ltd.,Healthcare,ALKEM.NS
ABDL,24308,INE552Z01027,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL.NS
ARE&M,100,INE885A01032,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS
AMBER,1185,INE371P01015,Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS
AMBUJACEM,1270,INE079A01024,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS
ANANDRATHI,7145,INE463V01026,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS
ANANTRAJ,13620,INE242C01024,Anant Raj Ltd.,Realty,ANANTRAJ.NS
ANGELONE,324,INE732I01021,Angel One Ltd.,Financial Services,ANGELONE.NS
ANTHEM,757885,INE0CZ201020,Anthem Biosciences Ltd.,Healthcare,ANTHEM.NS
ANURAS,2829,INE930P01018,Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS
APARINDS,11491,INE372A01015,Apar Industries Ltd.,Capital Goods,APARINDS.NS
APOLLOHOSP,157,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
APOLLOTYRE,163,INE438A01022,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS
APTUS,5435,INE852O01025,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS
ASAHIINDIA,5378,INE439A01020,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS
ASHOKLEY,212,INE208A01029,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS
ASIANPAINT,236,INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
ASTERDM,1508,INE914M01019,Aster DM Quality Care Ltd.,Healthcare,ASTERDM.NS
ASTRAL,14418,INE006I01046,Astral Ltd.,Capital Goods,ASTRAL.NS
ATHERENERG,757645,INE0LEZ01016,Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG.NS
ATUL,263,INE100A01010,Atul Ltd.,Chemicals,ATUL.NS
AUROPHARMA,275,INE406A01037,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS
AIIL,23553,INE206F01022,Authum Investment & Infrastructure Ltd.,Financial Services,AIIL.NS
DMART,19913,INE192R01011,Avenue Supermarts Ltd.,Consumer Services,DMART.NS
AXISBANK,5900,INE238A01034,Axis Bank Ltd.,Financial Services,AXISBANK.NS
BEML,395,INE258A01024,BEML Ltd.,Capital Goods,BEML.NS
BLS,17279,INE153T01027,BLS International Services Ltd.,Consumer Services,BLS.NS
BSE,19585,INE118H01025,BSE Ltd.,Financial Services,BSE.NS
BAJAJ-AUTO,16669,INE917I01010,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS
BAJFINANCE,317,INE296A01032,Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS
BAJAJFINSV,16675,INE918I01026,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS
BAJAJHLDNG,305,INE118A01012,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS
BAJAJHFL,25270,INE377Y01014,Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL.NS
BALKRISIND,335,INE787D01026,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS
BALRAMCHIN,341,INE119A01028,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS
BANDHANBNK,2263,INE545U01014,Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS
BANKBARODA,4668,INE028A01039,Bank of Baroda,Financial Services,BANKBARODA.NS
BANKINDIA,4745,INE084A01016,Bank of India,Financial Services,BANKINDIA.NS
MAHABANK,11377,INE457A01014,Bank of Maharashtra,Financial Services,MAHABANK.NS
BATAINDIA,371,INE176A01028,Bata India Ltd.,Consumer Durables,BATAINDIA.NS
BAYERCROP,17927,INE462A01022,Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS
BELRISE,757102,INE894V01022,Belrise Industries Ltd.,Automobile and Auto Components,BELRISE.NS
BERGEPAINT,404,INE463A01038,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS
BDL,2144,INE171Z01026,Bharat Dynamics Ltd.,Capital Goods,BDL.NS
BEL,383,INE263A01024,Bharat Electronics Ltd.,Capital Goods,BEL.NS
BHARATFORG,422,INE465A01025,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS
BHEL,438,INE257A01026,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS
BPCL,526,INE029A01011,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS
BHARTIARTL,10604,INE397D01024,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS
BHARTIHEXA,23489,INE343G01021,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA.NS
BIKAJI,11966,INE00E101023,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS
GROWW,759806,INE0HOQ01053,Billionbrains Garage Ventures Ltd.,Financial Services,GROWW.NS
BIOCON,11373,INE376G01013,Biocon Ltd.,Healthcare,BIOCON.NS
BSOFT,6994,INE836A01035,Birlasoft Ltd.,Information Technology,BSOFT.NS
BLUEDART,495,INE233B01017,Blue Dart Express Ltd.,Services,BLUEDART.NS
BLUEJET,19686,INE0KBH01020,Blue Jet Healthcare Ltd.,Healthcare,BLUEJET.NS
BLUESTARCO,8311,INE472A01039,Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS
BBTC,380,INE050A01025,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS
BOSCHLTD,2181,INE323A01026,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS
FIRSTCRY,24814,INE02RE01045,Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY.NS
BRIGADE,15184,INE791I01019,Brigade Enterprises Ltd.,Realty,BRIGADE.NS
BRITANNIA,547,INE216A01030,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS
MAPMYINDIA,7227,INE0BV301023,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS
CCL,11452,INE421D01022,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS
CESC,628,INE486A01021,CESC Ltd.,Power,CESC.NS
CGPOWER,760,INE067A01029,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS
CIEINDIA,14937,INE536H01010,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS
CRISIL,757,INE007A01025,CRISIL Ltd.,Financial Services,CRISIL.NS
CANFINHOME,583,INE477A01020,Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS
CANBK,10794,INE476A01022,Canara Bank,Financial Services,CANBK.NS
CANHLIFE,759477,INE01TY01017,Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE.NS
CAPLIPOINT,3906,INE475E01026,Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT.NS
CGCL,20329,INE180C01042,Capri Global Capital Ltd.,Financial Services,CGCL.NS
CARBORUNIV,595,INE120A01034,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS
CARTRADE,5407,INE290S01011,Cartrade Tech Ltd.,Consumer Services,CARTRADE.NS
CASTROLIND,1250,INE172A01027,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS
CEATLTD,15254,INE482A01020,Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS
CEMPRO,5622,INE686A01026,Cemindia Projects Ltd.,Construction,CEMPRO.NS
CENTRALBK,14894,INE483A01010,Central Bank of India,Financial Services,CENTRALBK.NS
CDSL,21174,INE736A01011,Central Depository Services (India) Ltd.,Financial Services,CDSL.NS
CHALET,8546,INE427F01016,Chalet Hotels Ltd.,Consumer Services,CHALET.NS
CHAMBLFERT,637,INE085A01013,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS
CHENNPETRO,2049,INE178A01016,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO.NS
CHOICEIN,8866,INE102B01014,Choice International Ltd.,Financial Services,CHOICEIN.NS
CHOLAHLDNG,21740,INE149A01033,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS
CHOLAFIN,685,INE121A01024,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS
CIPLA,694,INE059A01026,Cipla Ltd.,Healthcare,CIPLA.NS
CUB,5701,INE491A01021,City Union Bank Ltd.,Financial Services,CUB.NS
CLEAN,5049,INE227W01023,Clean Science and Technology Ltd.,Chemicals,CLEAN.NS
COALINDIA,20374,INE522F01014,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS
COCHINSHIP,21508,INE704P01025,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS
COFORGE,11543,INE591G01025,Coforge Ltd.,Information Technology,COFORGE.NS
COHANCE,17945,INE03QK01018,Cohance Lifesciences Ltd.,Healthcare,COHANCE.NS
COLPAL,15141,INE259A01022,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS
CAMS,342,INE596I01020,Computer Age Management Services Ltd.,Financial Services,CAMS.NS
CONCORDBIO,18060,INE338H01029,Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS
CONCOR,4749,INE111A01025,Container Corporation of India Ltd.,Services,CONCOR.NS
COROMANDEL,739,INE169A01031,Coromandel International Ltd.,Chemicals,COROMANDEL.NS
CRAFTSMAN,2854,INE00LO01017,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS
CREDITACC,4421,INE741K01010,CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS
CROMPTON,17094,INE299U01018,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS
CUMMINSIND,1901,INE298A01020,Cummins India Ltd.,Capital Goods,CUMMINSIND.NS
CYIENT,5748,INE136B01020,Cyient Ltd.,Information Technology,CYIENT.NS
DCMSHRIRAM,811,INE499A01024,DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS
DLF,14732,INE271C01023,DLF Ltd.,Realty,DLF.NS
DOMS,20551,INE321T01012,DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS.NS
